,Unnamed: 0,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Sales_normalised_by_year,Critic_normalised_by_year,User_normalised_by_year,Score,GameTier
42,65,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,92.0,0.8869485294117648,86.67,87.5,58.3523161764706,High
43,66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,70.0,0.7039187227866475,91.3,69.01,53.671306240928885,High
44,67,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,90.0,1.0,90.91,87.1,59.67,High
45,68,Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,73.0,0.4325688073394496,67.61,79.07,49.03752293577981,Medium
46,69,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,26.0,0.444602948169282,69.05,19.51,29.66820098272309,Low
47,70,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,84.0,0.4098721903922434,96.15,89.66,62.07329073013076,High
48,73,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,87.0,0.6640058055152396,92.75,92.96,62.12466860183843,High
49,74,Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,78.0,0.3922432789775232,67.95,82.76,50.367414426325844,Medium
50,75,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,84.0,0.5964673913043478,100.0,94.74,65.11215579710144,High
51,77,FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,43.0,1.0,81.82,35.9,39.57333333333333,Low
52,78,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,82.0,0.4076923076923077,98.53,82.67,60.535897435897425,High
53,79,Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,74.0,0.3839449541284405,59.15,80.23,46.587981651376154,Medium
54,80,Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,63.0,0.3640370207139709,55.13,65.52,40.338012340237995,Low
55,81,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,66.0,0.5914368650217707,92.75,63.38,52.240478955007255,High
56,84,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,87.0,0.5370741482965933,92.96,90.0,61.16569138276552,High
57,85,The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,76.0,0.24420024420024414,87.34,79.76,55.78140008140008,High
58,88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,86.0,0.8278775079197466,85.45,74.19,53.48929250263992,High
59,90,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,85.0,0.2171219374823993,80.0,91.46,57.225707312494144,High
60,91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,76.0,0.33103448275862074,88.24,79.78,56.117011494252864,High
61,92,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,57.0,0.6071428571428572,80.28,55.84,45.57571428571429,Medium
62,94,FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,50.0,1.0,87.1,44.12,44.07333333333333,Medium
63,97,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,91.0,0.3440366972477065,100.0,100.0,66.78134556574922,High
64,100,Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,76.0,0.20754716981132074,81.33,80.49,54.0091823899371,High
65,101,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,74.0,0.4966032608695653,84.0,81.58,55.35886775362318,High
66,102,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,86.0,1.0,87.32,87.65,58.65666666666666,High
67,103,Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,80.0,0.21947496947496944,40.51,84.52,41.749824989824994,Low
68,104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,75.0,0.4864130434782609,85.33,82.89,56.23547101449276,High
69,105,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,65.0,0.8352803738317757,88.31,64.1,51.0817601246106,Medium
70,106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,91.0,1.0,100.0,91.89,64.29666666666667,High
71,107,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,90.0,0.08652447891420262,98.59,96.2,64.9588414929714,High
72,109,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,89.0,0.9957983193277312,89.36,86.49,58.948599439775904,High
73,110,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,91.0,0.5619047619047619,87.32,100.0,62.627301587301595,High
74,111,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,91.0,0.4716098864395458,92.96,95.71,63.047203295479854,High
75,113,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,86.0,0.3312500000000001,79.41,88.0,55.91374999999999,High
76,114,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,85.0,0.4225526641883521,88.46,87.18,58.68751755472945,High
77,116,Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,73.0,0.4898403483309144,72.46,73.24,48.72994678277696,Medium
78,117,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,77.0,0.18980568853843985,93.33,81.71,58.4099352295128,High
79,118,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,83.0,0.4572010869565217,94.67,93.42,62.84906702898551,High
80,120,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.0,84.0,0.2939620978404584,96.15,89.66,62.034654032613474,High
81,121,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,88.0,0.20299145299145294,100.0,94.05,64.75099715099715,High
82,123,Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,74.0,0.2849137931034483,67.65,77.53,48.48830459770115,Medium
83,125,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,88.0,0.2972477064220184,97.18,96.51,64.66241590214068,High
84,126,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,43.0,0.3071802187351403,86.9,40.24,42.482393406245045,Low
85,127,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,69.0,0.4673439767779391,88.41,67.61,52.16244799225931,High
86,128,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,86.0,0.29495412844036706,85.92,94.19,60.134984709480115,High
87,129,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,86.0,0.4288577154308617,100.0,88.57,62.99961923847695,High
88,130,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,64.0,0.43478260869565216,94.67,68.42,54.50826086956522,High
89,131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,90.0,0.30769230769230776,70.59,93.33,54.7425641025641,High
90,132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,88.0,0.3959107806691451,84.62,91.03,58.681970260223046,High
91,134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,71.0,0.1932234432234432,83.54,73.81,52.51440781440782,High
92,135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,90.0,0.28944954128440376,97.18,98.84,65.43648318042814,High
93,136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,86.0,0.3903345724907064,93.59,88.46,60.8134448574969,High
94,138,World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,93.0,73.0,0.30192307692307696,95.59,70.67,55.520641025641034,High
95,139,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,81.0,0.6599788806758183,80.0,58.06,46.23999296022528,Medium
96,140,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,78.0,0.42119565217391297,93.33,86.84,60.1970652173913,High
97,141,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,74.0,0.2834862385321101,66.2,80.23,48.904495412844035,Medium
98,142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,83.0,0.07367910809500727,97.18,87.34,61.53122636936501,High
99,143,FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,57.0,0.4817460317460318,78.87,55.84,45.06391534391535,Medium
100,144,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,87.0,0.4034736138944556,98.59,90.0,62.997824537964824,High
101,146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,94.0,0.8417366946778712,95.74,100.0,65.52724556489261,High
