,Unnamed: 0,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Sales_normalised_by_year,Critic_normalised_by_year,User_normalised_by_year,Score,GameTier
151,221,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88.0,90.0,0.5036958817317846,81.82,87.1,56.47456529391059,High
152,222,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,80.0,54.0,0.2093433230498017,78.21,55.17,44.52978110768328,Medium
153,223,Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,62.0,77.0,0.892249527410208,50.0,79.27,43.387416509136735,Low
154,224,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,87.0,0.3206521739130435,97.33,98.68,65.44355072463769,High
155,227,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98.0,77.0,0.8827977315689981,100.0,79.27,60.050932577189656,High
156,228,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82.0,82.0,0.2887236679058241,80.77,83.33,54.79624122263528,High
157,229,Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91.0,86.0,0.8017857142857142,72.73,75.0,49.51059523809525,Medium
158,230,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73.0,76.0,0.1298225851872712,66.67,80.49,49.09660752839576,Medium
159,231,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86.0,81.0,0.5385514018691588,87.01,84.62,57.389517133956396,High
160,233,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,96.0,89.0,0.2843866171003718,98.72,92.31,63.77146220570012,High
161,234,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.04,1.11,0.0,0.43,4.6,86.0,84.0,0.2022917584839136,85.9,89.66,58.5874305861613,High
162,235,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.8,1.39,1.11,0.29,4.59,86.0,84.0,0.2177841179267713,86.9,90.24,59.119261372642256,High
163,236,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,91.0,82.0,0.3097826086956522,93.33,92.11,61.91659420289855,High
164,238,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91.0,79.0,0.2173076923076924,92.65,78.67,57.17910256410257,High
165,239,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.91,0.01,0.42,4.53,85.0,79.0,0.19920669898633764,84.62,83.91,56.24306889966211,High
166,241,Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84.0,82.0,0.05428986912263695,83.1,86.08,56.41142995637421,High
167,242,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84.0,64.0,0.5221962616822431,84.42,62.82,49.25406542056075,Medium
