,Borough,Major Category,Minor Category,MinorCategory,MajorCategory,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,NormalizedSumYears,CrimeTier
45,Barnet,Other Notifiable Offences,Other Notifiable,12,4,297,286,259,270,275,278,351,380,499,472,522,-0.41478141366212623,1
46,Barnet,Robbery,Business Property,13,5,83,116,78,85,79,74,40,58,37,45,68,-0.6639840288769452,0
47,Barnet,Robbery,Personal Property,14,5,741,834,873,1085,1076,726,522,564,431,601,687,0.02445900879000681,1
48,Barnet,Sexual Offences,Other Sexual,15,6,195,235,189,222,217,235,259,282,344,409,358,-0.49437084578195933,1
49,Barnet,Sexual Offences,Rape,16,6,44,80,102,90,85,115,146,162,199,236,274,-0.6225797636318996,0
50,Barnet,Theft and Handling,Handling Stolen Goods,17,7,81,83,52,60,57,67,51,47,38,35,39,-0.6766384155738224,0
51,Barnet,Theft and Handling,Motor Vehicle Interference & Tampering,18,7,188,192,212,227,236,279,467,535,575,0,0,-0.41300535938888033,1
52,Barnet,Theft and Handling,Other Theft,19,7,2838,2858,2999,3174,4166,3704,3598,3433,3703,4087,3862,2.6464701330613827,2
53,Barnet,Theft and Handling,Other Theft Person,20,7,770,987,869,710,717,743,571,661,679,733,754,0.008363516938715608,1
54,Barnet,Theft and Handling,Theft From Motor Vehicle,21,7,3555,3004,3063,3501,3115,3037,2253,2394,2290,2429,3035,2.173484679417577,2
55,Barnet,Theft and Handling,Theft From Shops,22,7,1569,1521,1490,1301,1282,1171,1249,1203,1629,1638,1561,0.6419708789191997,2
56,Barnet,Theft and Handling,Theft/Taking Of Motor Vehicle,23,7,1078,831,819,921,713,770,717,666,819,1041,1534,0.07796264377154033,2
57,Barnet,Theft and Handling,Theft/Taking of Pedal Cycle,24,7,164,274,249,230,270,224,196,280,234,254,175,-0.5006980391303979,1
58,Barnet,Violence Against the Person,Assault with Injury,25,8,1591,1589,1468,1375,1312,1074,1413,1494,1509,1626,1551,0.6874822696711266,2
59,Barnet,Violence Against the Person,Common Assault,26,8,1464,1482,1405,1300,1066,1164,1547,1891,1945,2138,2188,0.7362127587933116,2
60,Barnet,Violence Against the Person,Grievous Bodily Harm,27,8,105,225,94,0,0,0,0,0,0,0,0,-0.6890707954865439,0
61,Barnet,Violence Against the Person,Harassment,28,8,1466,1389,1248,1202,1279,1394,1934,2546,2994,3017,3285,0.9790881806596919,2
62,Barnet,Violence Against the Person,Murder,29,8,4,1,7,4,0,3,5,2,4,5,4,-0.7328061319652249,0
63,Barnet,Violence Against the Person,Offensive Weapon,30,8,142,126,102,83,58,85,89,90,121,171,160,-0.6366771944257892,0
64,Barnet,Violence Against the Person,Other violence,31,8,207,166,184,127,122,195,242,271,394,369,351,-0.5243417616429843,1
65,Barnet,Violence Against the Person,Wounding/GBH,32,8,116,0,56,153,138,420,586,654,664,667,645,-0.42676978000653626,1
66,Bexley,Burglary,Burglary in a Dwelling,0,0,1445,1352,1222,904,1040,1140,927,678,711,1043,1378,0.30940471625390004,2
67,Bexley,Burglary,Burglary in Other Buildings,1,0,856,720,718,592,657,653,617,406,415,573,589,-0.11074312276083931,1
68,Bexley,Criminal Damage,Criminal Damage To Dwelling,2,1,669,591,480,388,342,315,310,296,321,359,332,-0.32409164233450616,1
69,Bexley,Criminal Damage,Criminal Damage To Motor Vehicle,3,1,1448,1288,997,782,754,691,704,764,825,786,685,0.1799747610911032,2
70,Bexley,Criminal Damage,Criminal Damage To Other Building,4,1,268,216,171,133,133,120,119,115,139,129,124,-0.5791774373294523,0
71,Bexley,Criminal Damage,Other Criminal Damage,5,1,582,697,599,438,367,315,337,403,408,506,444,-0.2759161701727104,1
72,Bexley,Drugs,Drug Trafficking,6,2,78,52,66,112,83,90,61,107,65,35,28,-0.6568798117839615,0
73,Bexley,Drugs,Other Drugs,7,2,2,5,5,9,1,4,2,4,5,4,2,-0.7320291082206798,0
74,Bexley,Drugs,Possession Of Drugs,8,2,977,800,935,838,744,761,727,585,607,472,563,0.038001422623506996,2
75,Bexley,Fraud or Forgery,Counted per Victim,9,3,480,514,421,486,256,74,0,0,0,0,0,-0.4884876660018322,1
76,Bexley,Fraud or Forgery,Other Fraud & Forgery,10,3,148,175,142,168,170,27,9,9,10,15,11,-0.6408953233247482,0
77,Bexley,Other Notifiable Offences,Going Equipped,11,4,6,10,10,7,10,9,6,12,16,10,11,-0.7265899420088642,0
78,Bexley,Other Notifiable Offences,Other Notifiable,12,4,148,176,161,159,194,217,243,379,304,374,379,-0.5162385140212997,1
79,Bexley,Robbery,Business Property,13,5,40,52,64,44,30,43,27,18,24,39,55,-0.6981730736369293,0
80,Bexley,Robbery,Personal Property,14,5,327,274,200,318,206,234,182,157,194,254,268,-0.5039171375006561,1
81,Bexley,Sexual Offences,Other Sexual,15,6,126,137,140,137,140,133,180,200,244,275,232,-0.5766243593116612,0
82,Bexley,Sexual Offences,Rape,16,6,24,36,31,34,40,74,91,91,140,137,156,-0.6738633307718757,0
83,Bexley,Theft and Handling,Handling Stolen Goods,17,7,52,39,26,20,25,42,16,23,27,16,18,-0.706165317866536,0
84,Bexley,Theft and Handling,Motor Vehicle Interference & Tampering,18,7,129,174,83,85,93,123,190,256,266,0,0,-0.5808424882106203,0
85,Bexley,Theft and Handling,Other Theft,19,7,1435,1321,1480,1384,1652,1448,1417,1401,1495,1541,1492,0.7105709752233236,2
86,Bexley,Theft and Handling,Other Theft Person,20,7,220,166,190,158,172,160,130,142,181,201,185,-0.5675220811612759,0
87,Bexley,Theft and Handling,Theft From Motor Vehicle,21,7,1692,1383,1256,1030,1198,1095,1057,916,923,1004,1299,0.43494955269397145,2
88,Bexley,Theft and Handling,Theft From Shops,22,7,849,895,736,691,667,784,796,760,819,1097,1009,0.040554500641298015,2
89,Bexley,Theft and Handling,Theft/Taking Of Motor Vehicle,23,7,806,804,699,511,485,495,554,563,573,768,776,-0.12672761122005263,1
90,Bexley,Theft and Handling,Theft/Taking of Pedal Cycle,24,7,164,133,124,113,123,118,122,96,151,152,116,-0.6091483531904773,0
91,Bexley,Violence Against the Person,Assault with Injury,25,8,1371,1328,1124,1008,1019,771,847,921,1070,1166,1126,0.3138448519370149,2
92,Bexley,Violence Against the Person,Common Assault,26,8,873,886,853,720,672,697,901,1048,1136,1295,1330,0.12813617699073773,2
93,Bexley,Violence Against the Person,Grievous Bodily Harm,27,8,63,161,67,0,0,0,0,0,0,0,0,-0.7038342466329007,0
94,Bexley,Violence Against the Person,Harassment,28,8,751,1113,1007,772,819,797,1026,1372,1580,1782,1903,0.2892020988957277,2
95,Bexley,Violence Against the Person,Murder,29,8,5,2,0,5,1,0,1,2,5,0,0,-0.7338051624939257,0
96,Bexley,Violence Against the Person,Offensive Weapon,30,8,145,104,84,68,54,49,44,59,73,103,89,-0.6606539271146091,0
97,Bexley,Violence Against the Person,Other violence,31,8,137,174,108,109,107,175,151,187,229,215,267,-0.5832845628363335,0
98,Bexley,Violence Against the Person,Wounding/GBH,32,8,72,0,40,102,111,260,410,376,464,471,461,-0.5324450092646689,1
99,Brent,Burglary,Burglary in a Dwelling,0,0,2428,2762,2605,2887,2962,2367,2010,2037,1846,2333,2497,1.6952820663461117,2
100,Brent,Burglary,Burglary in Other Buildings,1,0,941,928,996,891,973,725,629,671,795,1026,1223,0.10182837306828246,2
101,Brent,Criminal Damage,Criminal Damage To Dwelling,2,1,636,705,681,576,466,510,514,429,516,520,490,-0.1774561613996394,1
102,Brent,Criminal Damage,Criminal Damage To Motor Vehicle,3,1,1218,1155,1061,1012,899,806,786,868,890,864,751,0.2290382603895219,2
103,Brent,Criminal Damage,Criminal Damage To Other Building,4,1,243,270,276,255,245,209,253,215,243,200,218,-0.49092974062754535,1
104,Brent,Criminal Damage,Other Criminal Damage,5,1,554,696,547,567,555,491,585,606,649,687,731,-0.15336842531874154,1
105,Brent,Drugs,Drug Trafficking,6,2,178,288,133,230,139,177,124,95,148,145,137,-0.568299104905821,0
106,Brent,Drugs,Other Drugs,7,2,15,17,32,33,35,29,23,21,20,23,27,-0.7111604705100402,0
107,Brent,Drugs,Possession Of Drugs,8,2,3059,2654,3266,4365,3481,3306,2880,1770,1990,1553,1612,2.2355355755891066,2
108,Brent,Fraud or Forgery,Counted per Victim,9,3,936,1029,1045,800,864,76,0,0,0,0,0,-0.2088701213576767,1
109,Brent,Fraud or Forgery,Other Fraud & Forgery,10,3,375,413,470,469,545,76,26,32,36,58,47,-0.46506595027340153,1
110,Brent,Other Notifiable Offences,Going Equipped,11,4,8,18,20,37,24,20,14,23,29,20,16,-0.714712579056532,0
111,Brent,Other Notifiable Offences,Other Notifiable,12,4,296,321,436,426,440,421,471,405,547,561,622,-0.31843046933853475,1
112,Brent,Robbery,Business Property,13,5,99,146,115,110,88,63,43,64,56,97,114,-0.6491095743385106,0
113,Brent,Robbery,Personal Property,14,5,1641,1688,1842,2114,1605,1112,845,839,882,1124,1347,0.6589543979071139,2
114,Brent,Sexual Offences,Other Sexual,15,6,214,201,203,256,264,229,296,325,374,442,449,-0.4739462216396312,1
115,Brent,Sexual Offences,Rape,16,6,87,112,103,115,118,130,176,189,203,247,244,-0.5992690512955469,0
